"id","prolific_id","bg","b","g","none","p_a","p_c","p_na","p_nc","p_c_given_a","p_c_given_na","p_a_given_c","p_a_given_nc","p_nc_given_a","p_nc_given_na","p_na_given_c","p_na_given_nc","p_likely_a","p_likely_na","p_likely_c","p_likely_nc"
"if2_hl","5ba6d33077f30d00014fe202",0.499999000004,0.499999000004,9.99996000016e-07,9.99996000016e-07,0.999998000008,0.5,1.999992000032e-06,0.5,0.5,0.5,0.999998000008,0.999998000008,0.5,0.5,1.999992000032e-06,1.999992000032e-06,0.999998000008,1.999992000032e-06,0.5,0.5
"if1_u-Lh","5ba6d33077f30d00014fe202",0.6499984000064,0.13000047999808,0.22000011999952,9.99996000016e-07,0.77999888000448,0.86999852000592,0.22000111999552,0.13000147999408,0.83333247863467,0.999995454586777,0.747125868676164,0.999992307810649,0.16666752136533,4.54541322351615e-06,0.252874131323836,7.69218935093306e-06,0.77999888000448,0.22000111999552,0.86999852000592,0.13000147999408
"independent_hl","5ba6d33077f30d00014fe202",9.99996000016e-07,0.42999928000288,0.42999928000288,0.14000043999824,0.43000027999888,0.43000027999888,0.56999972000112,0.56999972000112,2.32557057874149e-06,0.75438507233308,2.32557057874149e-06,0.75438507233308,0.999997674429421,0.245614927666921,0.999997674429421,0.245614927666921,0.43000027999888,0.56999972000112,0.43000027999888,0.56999972000112
"if1_hh","5ba6d33077f30d00014fe202",0.53999884000464,9.99996000016e-07,0.30999976000096,0.1500003999984,0.53999984000064,0.8499986000056,0.46000015999936,0.1500013999944,0.999998148155007,0.673912287337881,0.635293799308708,6.66657777896295e-06,1.85184499316669e-06,0.326087712662119,0.364706200691292,0.999993333422221,0.53999984000064,0.46000015999936,0.8499986000056,0.1500013999944
"independent_hh","5ba6d33077f30d00014fe202",0.18811905695423,0.18811905695423,0.43564282913731,0.18811905695423,0.37623811390846,0.62376188609154,0.62376188609154,0.37623811390846,0.5,0.698412068533116,0.301587931466884,0.5,0.5,0.301587931466884,0.698412068533116,0.5,0.37623811390846,0.62376188609154,0.62376188609154,0.37623811390846
"if2_u-Ll","5ba6d33077f30d00014fe202",0.22000011999952,0.70999816000736,0.0500007999968,0.02000091999632,0.92999828000688,0.27000091999632,0.07000171999312,0.72999908000368,0.236559706323212,0.714279592011657,0.814812482870497,0.972601444927548,0.763440293676788,0.285720407988343,0.185187517129503,0.0273985550724519,0.92999828000688,0.07000171999312,0.27000091999632,0.72999908000368
"independent_uh","5ba6d33077f30d00014fe202",0.16000035999856,0.6999982000072,0.07000071999712,0.07000071999712,0.85999856000576,0.23000107999568,0.14000143999424,0.76999892000432,0.186047241750601,0.5,0.695650472604586,0.909089846519879,0.813952758249399,0.5,0.304349527395414,0.0909101534801208,0.85999856000576,0.14000143999424,0.23000107999568,0.76999892000432
"if2_ll","5ba6d33077f30d00014fe202",0.46999912000352,0.32999968000128,0.1000005999976,0.1000005999976,0.7999988000048,0.56999972000112,0.2000011999952,0.43000027999888,0.587499781250547,0.5,0.824560264700826,0.767440616555272,0.412500218749453,0.5,0.175439735299174,0.232559383444728,0.7999988000048,0.2000011999952,0.56999972000112,0.43000027999888
"if1_uh","5ba6d33077f30d00014fe202",0.51999892000432,9.99996000016e-07,0.24000003999984,0.24000003999984,0.51999992000032,0.75999896000416,0.48000007999968,0.24000103999584,0.999998076930473,0.5,0.684210041552522,4.16663194473379e-06,1.92306952665567e-06,0.5,0.315789958447478,0.999995833368055,0.51999992000032,0.48000007999968,0.75999896000416,0.24000103999584
"independent_ul","5ba6d33077f30d00014fe202",0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"if1_lh","5ba6d33077f30d00014fe202",0.51999892000432,0.04000083999664,0.22000011999952,0.22000011999952,0.55999976000096,0.73999904000384,0.44000023999904,0.26000095999616,0.92856989796465,0.5,0.702702154859041,0.153848816547565,0.0714301020353499,0.5,0.297297845140959,0.846151183452435,0.55999976000096,0.44000023999904,0.73999904000384,0.26000095999616
"if2_ul","5ba6d33077f30d00014fe202",0.524751387123219,0.15841620429226,0.15841620429226,0.15841620429226,0.68316759141548,0.68316759141548,0.31683240858452,0.31683240858452,0.76811516488358,0.5,0.76811516488358,0.5,0.23188483511642,0.5,0.23188483511642,0.5,0.68316759141548,0.31683240858452,0.68316759141548,0.31683240858452
"independent_ll","5ba6d33077f30d00014fe202",0.16000035999856,0.33999964000144,0.33999964000144,0.16000035999856,0.5,0.5,0.5,0.5,0.32000071999712,0.67999928000288,0.32000071999712,0.67999928000288,0.67999928000288,0.32000071999712,0.67999928000288,0.32000071999712,0.5,0.5,0.5,0.5
"if1_hh","5b0c690b444cef0001ca5904",0.71999812000752,0.27999988000048,9.99996000016e-07,9.99996000016e-07,0.999998000008,0.71999912000352,1.999992000032e-06,0.28000087999648,0.71999956000088,0.5,0.999998611114969,0.999996428596939,0.28000043999912,0.5,1.38888503087491e-06,3.5714030614067e-06,0.999998000008,1.999992000032e-06,0.71999912000352,0.28000087999648
"if2_ul","5b0c690b444cef0001ca5904",0.41999932000272,0.3499996000016,9.99996000016e-07,0.23000007999968,0.76999892000432,0.42000031999872,0.23000107999568,0.57999968000128,0.545454427391098,4.34778828010191e-06,0.999997619058957,0.603447919145106,0.454545572608902,0.99999565221172,2.38094104313789e-06,0.396552080854894,0.76999892000432,0.23000107999568,0.42000031999872,0.57999968000128
